entry_date,exit_date,entry_price,exit_price,entry_regime,entry_volatility,trade_return,raw_return,exit_reason,size,holding_days,strategy
2020-04-20,2020-10-13,67.36000061035156,77.47000122070312,bear,0.9134748166396941,0.15008908133527996,0.15008908133527996,TAKE_PROFIT,1.0,176,FIXED
2020-11-09,2021-06-03,79.58999633789062,91.55999755859375,bear,0.3306796903431193,0.1503958006215479,0.1503958006215479,TAKE_PROFIT,1.0,206,FIXED
2021-06-14,2023-12-15,92.5999984741211,106.7699966430664,sideways,0.21600526431248201,0.15302374084709514,0.15302374084709514,TAKE_PROFIT,1.0,914,FIXED
2023-12-18,2024-06-20,106.66000366210938,123.06999969482422,sideways,0.22517278718229675,0.15385332335727683,0.15385332335727683,TAKE_PROFIT,1.0,185,FIXED
2024-06-28,2024-12-30,123.19000244140625,133.6300048828125,sideways,0.22882757271252668,0.08474715670512227,0.08474715670512227,END_PERIOD,1.0,185,FIXED
2020-04-20,2020-10-13,67.36000061035156,77.47000122070312,bear,0.9134748166396941,0.07504454066763998,0.15008908133527996,TAKE_PROFIT,0.5,176,ADAPTIVE
2020-11-09,2021-06-03,79.58999633789062,91.55999755859375,bear,0.3306796903431193,0.07519790031077395,0.1503958006215479,TAKE_PROFIT,0.5,206,ADAPTIVE
2021-06-14,2023-12-15,92.5999984741211,106.7699966430664,sideways,0.21600526431248201,0.12241899267767611,0.15302374084709514,TAKE_PROFIT,0.8,914,ADAPTIVE
2023-12-18,2024-06-20,106.66000366210938,123.06999969482422,sideways,0.22517278718229675,0.12308265868582147,0.15385332335727683,TAKE_PROFIT,0.8,185,ADAPTIVE
2024-06-28,2024-12-30,123.19000244140625,133.6300048828125,sideways,0.22882757271252668,0.06779772536409782,0.08474715670512227,END_PERIOD,0.8,185,ADAPTIVE
